Restaurant ID,Restaurant Name,City,lon,lat,Locality,Cuisines,Currency,Has Table booking,Has Online delivery,Price range,Votes,Average Cost for two,Rating
6317637,Le Petit Souffle,Makati City,121.027535,14.565443,"Century City Mall, Poblacion, Makati City","French, Japanese, Desserts",Botswana Pula(P),Yes,No,,314,1100,4.8
6304287,Izakaya Kikufuji,Makati City,121.014101,14.553708,"Little Tokyo, Legaspi Village, Makati City",Japanese,Botswana Pula(P),Yes,No,3,591,1200,4.5
6300002,Heat - Edsa Shangri-La,Mandaluyong City,121.056831,14.581404,"Edsa Shangri-La, Ortigas, Mandaluyong City","Seafood, Asian, Filipino, Indian",Botswana Pula(P),Yes,No,4,270,4000,4.4
6318506,Ooma,Mandaluyong City,121.056475,14.585318,"SM Megamall, Ortigas, Mandaluyong City","Japanese, Sushi",Botswana Pula(P),No,No,4,365,1500,4.9
6314302,Sambo Kojin,Mandaluyong City,121.057508,14.58445,"SM Megamall, Ortigas, Mandaluyong City","Japanese, Korean",Botswana Pula(P),Yes,No,4,229,1500,4.8
18189371,Din Tai Fung,Mandaluyong City,121.056314,14.583764,"SM Megamall, Ortigas, Mandaluyong City",Chinese,Botswana Pula(P),No,No,3,336,1000,4.4
6300781,Buffet 101,Mandaluyong City,120.9796667,14.53133333,"SM by the Bay, Mall of Asia Complex, Pasay City","Asian, European",Botswana Pula(P),Yes,No,4,520,2000,4
6301290,Vikings,Pasay City,120.9793333,14.54,"SM by the Bay, Mall of Asia Complex, Pasay City","Seafood, Filipino, Asian, European",Botswana Pula(P),Yes,No,4,677,2000,4.2
6300010,Spiral - Sofitel Philippine Plaza Manila,Pasay City,120.98009,14.55299,"Sofitel Philippine Plaza Manila, Pasay City","European, Asian, Indian",Botswana Pula(P),Yes,No,4,621,6000,4.9
6314987,Locavore,Pasig City,121.056532,14.572041,Kapitolyo,Filipino,Botswana Pula(P),Yes,No,3,532,1100,4.8
6309903,Silantro Fil-Mex,Pasig City,121.057916,14.567689,Kapitolyo,"Filipino, Mexican",Botswana Pula(P),No,No,3,1070,800,4.9
6309455,Mad Mark's Creamery & Good Eats,Pasig City,121.06082,14.570849,Kapitolyo,"American, Ice Cream, Desserts",Botswana Pula(P),Yes,No,3,488,900,4.2
6318433,Silantro Fil-Mex,Quezon City,121.075419,14.649503,"UP Town Center, Diliman, Quezon City","Filipino, Mexican",Botswana Pula(P),No,No,3,294,800,4.8
6310470,Guevarra's,San Juan City,121.0335917,14.59345,Addition Hills,Filipino,Botswana Pula(P),Yes,No,3,458,1000,4.2
6314605,Sodam Korean Restaurant,San Juan City,121.03811,14.59889,Little Baguio,Korean,Botswana Pula(P),No,No,3,223,700,4.3
18185059,Cafe Arabelle,Santa Rosa,121.05704,14.237082,"Nuvali, Don Jose, Santa Rosa","Cafe, American, Italian, Filipino",Botswana Pula(P),No,No,3,29,800,3.6
18182702,Nonna's Pasta & Pizzeria,Santa Rosa,121.0565874,14.23767897,"Solenad 3, Don Jose, Santa Rosa","Italian, Pizza",Botswana Pula(P),No,No,3,72,850,4
6318213,Balay Dako,Tagaytay City,120.951589,14.101834,Tagaytay City,Filipino,Botswana Pula(P),Yes,No,3,211,1200,4.5
18255654,Hobing Korean Dessert Cafe,Taguig City,121.045878,14.55436,"BGC Stopover Pavillion, Bonifacio Global City","Cafe, Korean, Desserts",Botswana Pula(P),No,No,2,118,600,4.5
6308205,Wildflour Cafe + Bakery,Taguig City,121.04622,14.549337,Bonifacio Global City,"Cafe, Bakery, American, Italian",Botswana Pula(P),Yes,No,4,392,1500,4.4
6315438,NIU by Vikings,Taguig City,121.053725,14.545858,"SM Aura Premier, Bonifacio Global City, Taguig City","Seafood, American, Mediterranean, Japanese",Botswana Pula(P),Yes,No,4,535,3000,4.7
6310406,The Food Hall by Todd English,Taguig City,121.0534998,14.54565535,"SM Aura Premier, Bonifacio Global City, Taguig City","American, Asian, Italian, Seafood",Botswana Pula(P),Yes,No,4,618,1800,4.5
6600681,Chez Michou,BrasÌ_lia,-47.88178889,-15.76414167,Asa Norte,"Fast Food, French",Brazilian Real(R$),No,No,2,6,55,3
6601005,CafÌ© Daniel Briand,BrasÌ_lia,-47.88266667,-15.7775,Asa Norte,Cafe,Brazilian Real(R$),No,No,1,9,30,3.8
6600292,Casa do Biscoito Mineiro,BrasÌ_lia,-47.88213611,-15.75747222,Asa Norte,Bakery,Brazilian Real(R$),No,No,2,11,45,3.7
6600441,Maori,BrasÌ_lia,-47.88816667,-15.75883333,Asa Norte,Brazilian,Brazilian Real(R$),No,No,3,11,60,3.8
6600970,Pizza ÌÊ Bessa,BrasÌ_lia,-47.91566667,-15.83116667,Asa Sul,Pizza,Brazilian Real(R$),No,No,2,11,50,3.2
6600379,Sushi Loko,BrasÌ_lia,-47.91566667,-15.831,Asa Sul,Japanese,Brazilian Real(R$),No,No,3,10,80,3.1
6600214,Beirute,BrasÌ_lia,-47.9075,-15.82,Asa Sul,Arabian,Brazilian Real(R$),No,No,3,8,90,3.7
6601218,New Koto,BrasÌ_lia,-47.91016667,-15.82733333,Asa Sul,Japanese,Brazilian Real(R$),No,No,4,5,200,3.7
6600060,Sandubas CafÌ©,BrasÌ_lia,-47.89016667,-15.797,Asa Sul,"Brazilian, Cafe",Brazilian Real(R$),No,No,1,2,30,1
6600083,Villa Tevere,BrasÌ_lia,-47.92366667,-15.83133333,Asa Sul,Italian,Brazilian Real(R$),No,No,4,12,150,4.1
6601515,Rovereto,BrasÌ_lia,-48.019,-15.83716667,ÌÅguas Claras,Pizza,Brazilian Real(R$),No,No,4,9,100,3.1
6601361,Buena Carne,BrasÌ_lia,-48.01909167,-15.839775,ÌÅguas Claras,"Bar Food, Brazilian",Brazilian Real(R$),No,No,3,9,60,3.6
6601602,Taco Pep,BrasÌ_lia,-48.01666667,-15.83483333,ÌÅguas Claras,"Mexican, Grill",Brazilian Real(R$),No,No,4,29,100,4.3
6601589,Coco Bambu,BrasÌ_lia,-47.889,-15.7865,"BrasÌ_lia Shopping, Asa Norte",International,Brazilian Real(R$),No,No,4,17,230,4.2
6601862,TaypÌÁ,BrasÌ_lia,-47.872359,-15.860621,Lago Sul,"Peruvian, Latin American",Brazilian Real(R$),No,No,4,5,100,3.6
6601595,Outback Steakhouse,BrasÌ_lia,-47.95628333,-15.83451389,"ParkShopping, GuarÌÁ I","American, Grill",Brazilian Real(R$),No,No,4,10,150,4
6601158,ManzuÌÁ,BrasÌ_lia,-47.87283333,-15.82566667,"PontÌ£o Lago Sul, Lago Sul",Seafood,Brazilian Real(R$),No,No,4,6,240,3.2
6600427,Coco Bambu,BrasÌ_lia,-47.8685,-15.819,Setor De Clubes Esportivos Sul,International,Brazilian Real(R$),No,No,4,30,230,4.9
6600116,Gero,BrasÌ_lia,-47.885812,-15.720118,"Shopping Iguatemi, Lago Norte",Italian,Brazilian Real(R$),No,No,4,8,350,3.3
6601457,Brazilian American Burgers,BrasÌ_lia,-47.92102778,-15.79753056,Sudoeste,"American, Burger",Brazilian Real(R$),No,No,2,9,50,3.6
7303219,Pesqueiro Eco Gourmet,Rio de Janeiro,-43.377,-23.0115,Barra da Tijuca,"Seafood, Bar Food, Brazilian",Brazilian Real(R$),No,No,4,7,140,4
7304307,Confeitaria Colombo,Rio de Janeiro,-43.178826,-22.905293,Centro,"Desserts, Cafe",Brazilian Real(R$),No,No,4,29,100,4.8
7301215,Bibi,Rio de Janeiro,-43.18669167,-22.97207222,Copacabana,"Juices, Healthy Food",Brazilian Real(R$),No,No,3,24,60,4.7
7300596,Cervantes,Rio de Janeiro,-43.17583333,-22.96216667,Copacabana,"Beverages, Bar Food, Fast Food",Brazilian Real(R$),No,No,3,29,90,4.5
7300612,Amir,Rio de Janeiro,-43.176,-22.96516667,Copacabana,Lebanese,Brazilian Real(R$),No,No,4,11,170,4.2
7300704,TT Burger,Rio de Janeiro,-43.191,-22.98683333,"Galeria River, Copacabana",Burger,Brazilian Real(R$),No,No,3,19,60,4.8
7300955,Braseiro da GÌÁvea,Rio de Janeiro,-43.227042,-22.973507,GÌÁvea,"Brazilian, Bar Food",Brazilian Real(R$),No,No,4,40,100,4.9
7300521,Balada Mix,Rio de Janeiro,-43.211425,-22.98520833,Ipanema,"Brazilian, Healthy Food, Juices, Pizza",Brazilian Real(R$),No,No,3,21,90,4.6
7300515,Garota de Ipanema,Rio de Janeiro,-43.203,-22.98533333,Ipanema,"Brazilian, Bar Food",Brazilian Real(R$),No,No,4,49,120,4.9
7300483,ZazÌÁ BistrÌ« Tropical,Rio de Janeiro,-43.20520833,-22.98531944,Ipanema,Brazilian,Brazilian Real(R$),No,No,4,21,170,4.6
7301064,FilÌ© de Ouro,Rio de Janeiro,-43.219563,-22.966647,Lagoa,Brazilian,Brazilian Real(R$),No,No,3,14,90,4.3
7304312,D.O.C Ristorante,Rio de Janeiro,-43.34879167,-22.99991111,"Le Monde, Barra da Tijuca",Italian,Brazilian Real(R$),No,No,4,5,150,4
7300004,Sushi Leblon,Rio de Janeiro,-43.227,-22.98416667,Leblon,Japanese,Brazilian Real(R$),No,No,4,25,250,4.6
7300868,Talho Capixaba,Rio de Janeiro,-43.22566667,-22.98516667,Leblon,"Bakery, Sandwich, Brazilian",Brazilian Real(R$),No,No,4,13,120,4.4
7302637,Leme Light,Rio de Janeiro,-43.17279167,-22.963925,Leme,Brazilian,Brazilian Real(R$),No,No,2,7,40,4.2
7302140,Shirley,Rio de Janeiro,-43.17126389,-22.96337222,Leme,"Brazilian, Seafood",Brazilian Real(R$),No,No,4,8,250,4.2
7305048,Quiosque Chopp Brahma,Rio de Janeiro,-43.341164,-22.870413,Madureira,"Bar Food, Brazilian",Brazilian Real(R$),No,No,3,1,70,1
7302898,AprazÌ_vel,Rio de Janeiro,-43.18736944,-22.92481389,Santa Teresa,Brazilian,Brazilian Real(R$),No,No,4,44,300,4.7
7302859,Aconchego Carioca,Rio de Janeiro,-43.21551111,-22.91370833,Tijuca,"Brazilian, Bar Food",Brazilian Real(R$),No,No,3,24,85,4.6
7301700,Garota de Ipanema,Rio de Janeiro,-43.16266667,-22.94783333,Urca,"Brazilian, Bar Food",Brazilian Real(R$),No,No,3,10,80,4.3
